Title,Description,Img,Github,Link,TechStack,Features,Category
"1","Aplikasi IoT Kolam Lele","Timestamp(seconds=1749307521, nanoseconds=510000000)","https://github.com/Nugraa21/iot_kolam_ikan.git","Timestamp(seconds=1749307521, nanoseconds=510000000)","Monitoring kolam, Real-time MQTT data, Modern UI crypto-style","Aplikasi mobile monitoring kolam ikan berbasis Flutter yang terhubung dengan ESP32 menggunakan protokol MQTT. Data sensor dari 3 kolam dikirim secara real-time ke aplikasi melalui broker MQTT dan disimpan di Firebase. Aplikasi menampilkan suhu, pH, DO, dan status kolam dalam tampilan dashboard interaktif. Cocok untuk pemantauan budidaya ikan lele secara digital dan efisien.","Flutter, MQTT, ESP32, Dart, Firebase","Project","N/A","https://github.com/Nugraa21/Nugra21/blob/main/src/images/apk2.jpg?raw=true"
"2","Flutter, MQTT, ESP32, Dart, Firebase","https://github.com/Nugraa21/Nugra21/blob/main/src/images/apk1.jpg?raw=true","Project","N/A","https://github.com/Nugraa21/iot_kolam_ikan.git","Timestamp(seconds=1749311779, nanoseconds=711000000)","Timestamp(seconds=1749311779, nanoseconds=711000000)","Aplikasi mobile monitoring kolam ikan berbasis Flutter yang terhubung dengan ESP32 menggunakan protokol MQTT. Data sensor dari 3 kolam dikirim secara real-time ke aplikasi melalui broker MQTT dan disimpan di Firebase. Aplikasi menampilkan suhu, pH, DO, dan status kolam dalam tampilan dashboard interaktif. Cocok untuk pemantauan budidaya ikan lele secara digital dan efisien.","Aplikasi M-banking (BANK SAMPAH)","Transaksi sesama, nenudah kan untuk Transparansi transaksi bank sampah, Monitoring kompose, Real-time MQTT data, Modern UI crypto-style"
"3","https://nugra.my.id","Website portofolio dengan React & JSX, Tampilan responsif dan clean UI, Informasi tentang organisasi mahasiswa, Menampilkan data dan deskripsi pribadi","N/A","React, JavaScript, Firebase, tailwind","Timestamp(seconds=1749311995, nanoseconds=70000000)","https://github.com/Nugraa21/Nugra21/blob/main/src/images/webinti.png?raw=true","Portfolio Web v2","Timestamp(seconds=1749311995, nanoseconds=70000000)","Portfolio web versi kedua yang dibangun menggunakan React dan JSX. Website ini berfungsi sebagai media perkenalan diri serta menampilkan informasi terkait organisasi mahasiswa. Dirancang dengan antarmuka sederhana dan responsif, project ini menunjukkan kemampuan dalam pengembangan front-end dengan pendekatan komponen modern.","Web"
"4","Web","Timestamp(seconds=1749339625, nanoseconds=927000000)","Html, Css, JavaScript","Timestamp(seconds=1749339625, nanoseconds=927000000)","Portfolio Web v1","Portofolio pribadi versi awal, "Dibuat tanpa framework (pure HTML/CSS/JS), Desain sederhana dan ringan, Menampilkan biodata dan daftar proyek","Versi pertama dari website portofolio pribadi yang dibuat menggunakan HTML, CSS, dan JavaScript murni. Website ini menampilkan informasi dasar tentang diri saya dan proyek-proyek awal, dengan desain sederhana dan fungsionalitas dasar sebagai pengenalan terhadap pengembangan web.","https://github.com/Nugraa21/My_dashboard.git","https://github.com/Nugraa21/Nugra21/blob/main/src/images/portfolioawal.png?raw=true","https://nugraa21.github.io/My_dashboard"
"5","Encryptify adalah aplikasi desktop berbasis Python yang menggunakan Tkinter sebagai antarmuka grafisnya. Aplikasi ini memungkinkan pengguna mengamankan file dengan enkripsi berbasis password. Fitur utama meliputi enkripsi dan dekripsi file yang mudah digunakan serta menjaga keamanan data dengan efektif.","Enkripsi dan dekripsi file berbasis password, Antarmuka sederhana menggunakan Tkinter, Keamanan data terjaga","Project","Timestamp(seconds=1749312897, nanoseconds=528000000)","Timestamp(seconds=1749312897, nanoseconds=528000000)","N/A","https://github.com/Nugraa21/Nugra21/blob/main/src/images/pjy.png?raw=true","Encryptify - Enkripsi File Password","https://github.com/Nugraa21/Encryptify---Password-Based-File-Encryption-with-Python---Tkinter.git","Python, Tkinter, Cryptography"
"6","Menyisipkan pesan teks ke dalam gambar, Membaca pesan tersembunyi dari gambar, Antarmuka web sederhana dan mudah digunakan","Timestamp(seconds=1749312999, nanoseconds=354000000)","Python, Flask, Steganografi","Steganografi Gambar dengan Flask","https://github.com/Nugraa21/Steganografi-dengan-Flask.git","https://github.com/Nugraa21/Nugra21/blob/main/src/images/stga.png?raw=true","Timestamp(seconds=1749312999, nanoseconds=354000000)","Project","Aplikasi web berbasis Flask untuk menyisipkan pesan teks ke dalam gambar (steganografi) tanpa mengubah tampilan gambar secara signifikan. Pengguna dapat mengunggah gambar, menyembunyikan pesan, dan membaca pesan tersembunyi dari gambar yang sudah diupload.","N/A"
"7","https://github.com/Nugraa21/Nugra21/blob/main/src/images/camera11.png?raw=true","Aplikasi web untuk mencatat kehadiran secara otomatis menggunakan teknologi pengenalan wajah. Dikembangkan dengan Python dan Flask, serta menyimpan data kehadiran dan pengguna dalam file JSON.","N/A","Pencatatan kehadiran otomatis dengan face recognition, Tambah pengguna (nama dan foto) secara manual, Dashboard monitoring kehadiran lengkap dengan tanggal dan jam, UI modern dan responsif menggunakan Bootstrap 5, Penyimpanan data pengguna dan absensi dalam file JSON","https://github.com/Nugraa21/Intelligent-Facial-Recognition-Attendance---Monitoring.git","Face Attendance App - Absensi Berbasis Pengenalan Wajah","Python, Flask, OpenCV, Bootstrap 5","Project","Timestamp(seconds=1749313807, nanoseconds=352000000)","Timestamp(seconds=1749313807, nanoseconds=352000000)"
"8","N/A","Karya manis bertema es krim yang saya ilustrasikan dengan Adobe Illustrator.","Adobe Illustrator","Ilustrasi","Ilustrasi Ice","","Timestamp(seconds=1749313908, nanoseconds=910000000)","N/A","Timestamp(seconds=1749313908, nanoseconds=910000000)","https://github.com/Nugraa21/Nugra21/blob/main/public/images/i1.png?raw=true"
"9","Materi","Dokumentasi tutorial sederhana tentang cara deployment website ke dalam container Docker menggunakan Nginx sebagai reverse proxy.","https://github.com/Nugraa21/Nugra21/blob/main/public/images/t1.jpg?raw=true","Cara menggunakan Docker dan Nginx","Tutorial deploy website menggunakan Docker, Penggunaan Nginx sebagai reverse proxy, Pengenalan dasar Docker dan containerization, Cocok untuk pemula di DevOps dan Web Hosting","N/A","Timestamp(seconds=1749314023, nanoseconds=749000000)","Timestamp(seconds=1749314023, nanoseconds=749000000)","Html, Css, JavaScript, Php","https://youtu.be/--IZaVqQkyk?si=tsD_WfxlDftmKC8u"
"10","Timestamp(seconds=1749314411, nanoseconds=691000000)","Modul belajar HTML, CSS, JavaScript, dan PHP, Modul belajar HTML, CSS, JavaScript, dan PHP, Didesain untuk pemula dan pembelajaran mandiri, Didesain untuk pemula dan pembelajaran mandiri","Html, Css, JavaScript, Php","Materi","Kumpulan Module praktikum dasar tentang HTML, CSS, JavaScript, dan PHP untuk pemula.","Kumpulan modul belajar dasar PWC","https://github.com/Nugraa21/Belajar-HTML.git","https://github.com/Nugraa21/Nugra21/blob/main/public/images/w1.png?raw=true","https://nugraa21.github.io/Belajar-HTML/","Timestamp(seconds=1749314411, nanoseconds=691000000)"
